n02579557,pompano
n02579091,Seriola_zonata
n02634545,driftfish
n01447658,rivulus
n02564935,Kentucky_black_bass
n02564935,spotted_black_bass
n02564935,Micropterus_pseudoplites
n02590094,pigfish
n02590094,hogfish
n02590094,Orthopristis_chrysopterus
n02532028,herring
n02532028,Clupea_harangus
n02659478,winter_flounder
n02659478,blackback_flounder
n02659478,lemon_sole
n02659478,Pseudopleuronectes_americanus
n02551134,halfbeak
n01501160,skate
n02664399,lemon_sole
n02664399,Solea_lascaris
n02609823,pearly_razorfish
n02609823,Hemipteronatus_novacula
n02650413,tub_gurnard
n02650413,yellow_gurnard
n02650413,Trigla_lucerna
n02627292,bluefin
n02627292,bluefin_tuna
n02627292,horse_mackerel
n02627292,Thunnus_thynnus
n02579303,kingfish
n02579303,Seriola_grandis
n02610373,cunner
n02610373,bergall
n02610373,Tautogolabrus_adspersus
n01492357,smooth_dogfish
n02522399,cod
n02522399,codfish
n01457407,shrimpfish
n01457407,shrimp-fish
n02592371,pinfish
n02592371,sailor's-choice
n02592371,squirrelfish
n02592371,Lagodon_rhomboides
n01446152,redhorse
n01446152,redhorse_sucker
n02522722,Atlantic_cod
n02522722,Gadus_morhua
n02526121,eel
n02550655,monoplane_flying_fish
n02550655,two-wing_flying_fish
n02575325,sharksucker
n02575325,Echeneis_naucrates
n02528163,teleost_fish
n02528163,teleost
n02528163,teleostan
n01441742,emerald_shiner
n01441742,Notropis_atherinoides
n01501777,little_skate
n01501777,Raja_erinacea
n01493146,whitetip_shark
n01493146,reef_whitetip_shark
n01493146,Triaenodon_obseus
n02588286,grunt
n02588945,Spanish_grunt
n02588945,Haemulon_macrostomum
n02597608,kingfish
n02650050,gurnard
n02597004,yellowfin_croaker
n02597004,surffish
n02597004,surf_fish
n02597004,Umbrina_roncador
n02537319,brown_trout
n02537319,salmon_trout
n02537319,Salmo_trutta
n02580679,horse_mackerel
n02580679,jack_mackerel
n02580679,Spanish_mackerel
n02580679,saurel
n02580679,Trachurus_symmetricus
n02523877,haddock
n02523877,Melanogrammus_aeglefinus
n02577403,rainbow_runner
n02577403,Elagatis_bipinnulata
n01498041,stingray
n01499732,cownose_ray
n01499732,cow-nosed_ray
n01499732,Rhinoptera_bonasus
n02591911,Atlantic_sea_bream
n02591911,Archosargus_rhomboidalis
n01481498,rabbitfish
n01481498,Chimaera_monstrosa
n02538406,char
n02538406,charr
n02534165,mediterranean_anchovy
n02534165,Engraulis_encrasicholus
n02632494,louvar
n02632494,Luvarus_imperialis
n02546331,ribbonfish
n02636550,Pacific_tripletail
n02636550,Lobotes_pacificus
n01449374,mosquitofish
n01449374,Gambusia_affinis
n02616397,wrymouth
n02616397,ghostfish
n02616397,Cryptacanthodes_maculatus
n02537716,sea_trout
n01443243,gudgeon
n01443243,Gobio_gobio
n02620578,archerfish
n02620578,Toxotes_jaculatrix
n02536456,chinook
n02536456,chinook_salmon
n02536456,king_salmon
n02536456,quinnat_salmon
n02536456,Oncorhynchus_tshawytscha
n02517442,catfish
n02517442,siluriform_fish
n02530188,brit
n02530188,britt
n02569484,hind
n02600798,yellow_goatfish
n02600798,Mulloidichthys_martinicus
n01486540,carpet_shark
n01486540,Orectolobus_barbatus
n02519862,blue_catfish
n02519862,blue_cat
n02519862,blue_channel_catfish
n02519862,blue_channel_cat
n02664960,sand_sole
n02664960,Psettichthys_melanostichus
n02539424,lake_whitefish
n02539424,Coregonus_clupeaformis
n02569334,coney
n02569334,Epinephelus_fulvus
n01494041,Pacific_spiny_dogfish
n01494041,Squalus_suckleyi
n02570838,surfperch
n02570838,surffish
n02570838,surf_fish
n02656301,burrfish
n02581108,bigeye_scad
n02581108,big-eyed_scad
n02581108,goggle-eye
n02581108,Selar_crumenophthalmus
n02615298,rock_gunnel
n02615298,butterfish
n02615298,Pholis_gunnellus
n02587479,mutton_snapper
n02587479,muttonfish
n02587479,Lutjanus_analis
n02585872,cichlid
n02585872,cichlid_fish
n02662825,windowpane
n02662825,Scophthalmus_aquosus
n02611561,jawfish
n01498406,roughtail_stingray
n01498406,Dasyatis_centroura
n02615980,snakeblenny
n02615980,Lumpenus_lumpretaeformis
n02618094,ocean_pout
n02618094,Macrozoarces_americanus
n02545841,opah
n02545841,moonfish
n02545841,Lampris_regius
n02607201,clown_anemone_fish
n02607201,Amphiprion_percula
n02645953,sea_raven
n02645953,Hemitripterus_americanus
n02589796,pompon
n02589796,black_margate
n02589796,Anisotremus_surinamensis
n02625258,wahoo
n02625258,Acanthocybium_solandri
n01449712,platy
n01449712,Platypoecilus_maculatus
n02514320,northern_snakehead
n02607470,sergeant_major
n02607470,Abudefduf_saxatilis
n02661017,lefteye_flounder
n02661017,lefteyed_flounder
n02581642,round_scad
n02581642,cigarfish
n02581642,quiaquia
n02581642,Decapterus_punctatus
n02592734,sheepshead_porgy
n02592734,Calamus_penna
n01449980,mollie
n01449980,molly
n01451426,soldierfish
n01451426,soldier-fish
n01448951,topminnow
n01448951,poeciliid_fish
n01448951,poeciliid
n01448951,live-bearer
n02643112,scorpionfish
n02643112,scorpion_fish
n02643112,sea_scorpion
n02561803,chain_pickerel
n02561803,chain_pike
n02561803,Esox_niger
n01486838,nurse_shark
n01486838,Ginglymostoma_cirratum
