n01563449,gnatcatcher
n01549886,phoebe
n01549886,phoebe_bird
n01549886,Sayornis_phoebe
n02027492,red-backed_sandpiper
n02027492,dunlin
n02027492,Erolia_alpina
n01552333,umbrella_bird
n01552333,Cephalopterus_ornatus
n02012185,least_bittern
n02012185,Ixobrychus_exilis
n01837526,oilbird
n01837526,guacharo
n01837526,Steatornis_caripensis
n01791463,red_jungle_fowl
n01791463,Gallus_gallus
n01556182,spotted_flycatcher
n01556182,Muscicapa_striata
n01556182,Muscicapa_grisola
n01816887,parrot
n01598588,shrike
n01532829,house_finch
n01532829,linnet
n01532829,Carpodacus_mexicanus
n02028175,yellowlegs
n01514859,hen
n02004492,policeman_bird
n02004492,black-necked_stork
n02004492,jabiru
n02004492,Xenorhyncus_asiaticus
n02046442,great_auk
n02046442,Pinguinus_impennis
n01846331,duck
n01592257,black-capped_chickadee
n01592257,blackcap
n01592257,Parus_atricapillus
n02019190,great_bustard
n02019190,Otis_tarda
n01559477,hermit_thrush
n01559477,Hylocichla_guttata
n01802721,phasianid
n01611800,gyrfalcon
n01611800,gerfalcon
n01611800,Falco_rusticolus
n02009912,American_egret
n02009912,great_white_heron
n02009912,Egretta_albus
n01571126,bird_of_paradise
n01579578,jackdaw
n01579578,daw
n01579578,Corvus_monedula
n01857512,common_brant_goose
n01857512,Branta_bernicla
n01517036,Ibero-mesornis
n01849466,sheldrake
n01563128,warbler
n01841102,sapsucker
n02044908,great_skua
n02044908,Catharacta_skua
n01844551,quetzal
n01844551,quetzal_bird
n01610955,falcon
n01830479,wood_hoopoe
n01588431,New_Zealand_wren
n01821554,Carolina_parakeet
n01821554,Conuropsis_carolinensis
n01624115,Old_World_scops_owl
n01624115,Otus_scops
n02012849,crane
n02016358,gallinule
n02016358,marsh_hen
n02016358,water_hen
n02016358,swamphen
n01601694,water_ouzel
n01601694,dipper
n01610226,marsh_hawk
n01610226,northern_harrier
n01610226,hen_harrier
n01610226,Circus_cyaneus
n01610100,Montagu's_harrier
n01610100,Circus_pygargus
n01850553,Barrow's_goldeneye
n01850553,Bucephala_islandica
n01528396,wagtail
n01831360,tody
n01814755,roller
n01814755,tumbler
n01814755,tumbler_pigeon
n01553142,antbird
n01553142,ant_bird
n01546506,broadbill
n01798484,prairie_chicken
n01798484,prairie_grouse
n01798484,prairie_fowl
n01528654,pipit
n01528654,titlark
n01528654,lark
n01798839,lesser_prairie_chicken
n01798839,Tympanuchus_pallidicinctus
n01819734,cockateel
n01819734,cockatiel
n01819734,cockatoo_parrot
n01819734,Nymphicus_hollandicus
n01818299,amazon
n01854838,American_merganser
n01854838,Mergus_merganser_americanus
n02002556,white_stork
n02002556,Ciconia_ciconia
n02033208,greyback
n02033208,grayback
n02033208,Limnodromus_griseus
n01535469,white-throated_sparrow
n01535469,whitethroat
n01535469,Zonotrichia_albicollis
n01796340,ptarmigan
n01828096,belted_kingfisher
n01828096,Ceryle_alcyon
n01796105,greyhen
n01796105,grayhen
n01796105,grey_hen
n01796105,gray_hen
n01796105,heath_hen
n02024479,golden_plover
n02511730,twitterer
n01850873,canvasback
n01850873,canvasback_duck
n01850873,Aythya_valisineria
n01591005,European_nuthatch
n01591005,Sitta_europaea
n01560793,stonechat
n01560793,Saxicola_torquata
n01573240,eastern_meadowlark
n01573240,Sturnella_magna
n01592540,Carolina_chickadee
n01592540,Parus_carolinensis
n01797307,spruce_grouse
n01797307,Canachites_canadensis
n01609956,marsh_harrier
n01609956,Circus_Aeruginosus
n01857325,brant
n01857325,brant_goose
n01857325,brent
n01857325,brent_goose
n02033561,curlew
n01859496,tundra_swan
n01859496,Cygnus_columbianus
n01587526,catbird
n01587526,grey_catbird
n01587526,gray_catbird
n01587526,Dumetella_carolinensis
n01540090,tree_sparrow
n01540090,Passer_montanus
n01813948,Australian_turtledove
n01813948,turtledove
n01813948,Stictopelia_cuneata
n01613177,carancha
n01613177,Polyborus_plancus
n01601068,satin_bowerbird
n01601068,satin_bird
n01601068,Ptilonorhynchus_violaceus
n02025239,ruddy_turnstone
n02025239,Arenaria_interpres
n01859689,whistling_swan
n01859689,Cygnus_columbianus_columbianus
n01848453,bluewing
n01848453,blue-winged_teal
n01848453,Anas_discors
n01855032,red-breasted_merganser
n01855032,Mergus_serrator
n01559639,veery
n01559639,Wilson's_thrush
n01559639,Hylocichla_fuscescens
n01564914,greater_whitethroat
n01564914,whitethroat
n01564914,Sylvia_communis
n02022684,shorebird
n02022684,shore_bird
n02022684,limicoline_bird
n01594004,fairy_bluebird
n01594004,bluebird
n01533481,common_canary
n01533481,Serinus_canaria
n01540566,evening_grosbeak
n01540566,Hesperiphona_vespertina
n01852400,mandarin_duck
n01852400,Aix_galericulata
n02042046,herring_gull
n02042046,Larus_argentatus
n02015797,corncrake
n02015797,land_rail
n02015797,Crex_crex
n01851573,greater_scaup
n01851573,Aythya_marila
n01551711,manakin
n01585287,long-billed_marsh_wren
n01585287,Cistothorus_palustris
n02153203,game_bird
n01793715,Orpington
n02032480,great_snipe
n02032480,woodcock_snipe
n02032480,Gallinago_media
n02029087,curlew_sandpiper
n02029087,Calidris_Ferruginea
n01833805,hummingbird
n02010453,night_heron
n02010453,night_raven
n01535690,white-crowned_sparrow
n01535690,Zonotrichia_leucophrys
n01793340,spring_chicken
n01566645,babbler
n01566645,cackler
n01819313,sulphur-crested_cockatoo
n01819313,Kakatoe_galerita
n01819313,Cacatua_galerita
n01839086,green_woodpecker
n01839086,Picus_viridis
n01622483,great_horned_owl
n01622483,Bubo_virginianus
n01584225,wren
n01584225,jenny_wren
n02055107,tropic_bird
n02055107,tropicbird
n02055107,boatswain_bird
n01831712,apodiform_bird
n01575117,cowbird
n01565345,wood_warbler
n01565345,Phylloscopus_sibilatrix
n01558993,robin
n01558993,American_robin
n01558993,Turdus_migratorius
n02015357,weka
n02015357,maori_hen
n02015357,wood_hen
n01576695,starling
n01539925,English_sparrow
n01539925,house_sparrow
n01539925,Passer_domesticus
n02032222,whole_snipe
n02032222,Gallinago_gallinago
n01560280,thrush_nightingale
n01560280,Luscinia_luscinia
n02060889,storm_petrel
n01820348,lory
n02011016,yellow-crowned_night_heron
n02011016,Nyctanassa_violacea
n02050004,grebe
n01834540,thornbill
n02008041,heron
n01541386,cardinal
n01541386,cardinal_grosbeak
n01541386,Richmondena_Cardinalis
n01541386,Cardinalis_cardinalis
n01541386,redbird
n01795900,Asian_black_grouse
n01795900,Lyrurus_mlokosiewiczi
n01562014,bluebird
n01562451,bluethroat
n01562451,Erithacus_svecicus
n01582856,Australian_magpie
n01577458,rose-colored_starling
n01577458,rose-colored_pastor
n01577458,Pastor_sturnus
n01577458,Pastor_roseus
n01617095,griffon_vulture
n01617095,griffon
n01617095,Gyps_fulvus
n02054502,snakebird
n02054502,anhinga
n02054502,darter
n01561181,solitaire
n02034129,godwit
n01531971,redpoll
n01531971,Carduelis_hornemanni
n01600341,black-fronted_bush_shrike
n01600341,Chlorophoneus_nigrifrons
n01514668,cock
n01537544,indigo_bunting
n01537544,indigo_finch
n01537544,indigo_bird
n01537544,Passerina_cyanea
n01569971,yellow-breasted_chat
n01569971,Icteria_virens
n01603953,Bohemian_waxwing
n01603953,Bombycilla_garrulus
n01793435,Rhode_Island_red
n02044178,jaeger
n01856380,Chinese_goose
n01856380,Anser_cygnoides
n01797020,capercaillie
n01797020,capercailzie
n01797020,horse_of_the_wood
n01797020,Tetrao_urogallus
n01833112,swiftlet
n01833112,Collocalia_inexpectata
n01843719,toucanet
n01614343,golden_eagle
n01614343,Aquila_chrysaetos
n01807496,partridge
n02008497,great_blue_heron
n02008497,Ardea_herodius
n02028342,greater_yellowlegs
n02028342,Tringa_melanoleuca
n01806061,peachick
n01806061,pea-chick
n01608432,kite
n02023992,killdeer
n02023992,kildeer
n02023992,killdeer_plover
n02023992,Charadrius_vociferus
n02016816,moorhen
n02016816,Gallinula_chloropus
n01522450,elephant_bird
n01522450,aepyornis
n01612476,hobby
n01612476,Falco_subbuteo
n01578180,hill_myna
n01578180,Indian_grackle
n01578180,grackle
n01578180,Gracula_religiosa
n02015554,crake
n01833415,tree_swift
n01833415,crested_swift
n01515303,bird_of_passage
n01543383,whydah
n01543383,whidah
n01543383,widow_bird
n01808596,mountain_quail
n01808596,mountain_partridge
n01808596,Oreortyx_picta_palmeri
n01565078,lesser_whitethroat
n01565078,whitethroat
n01565078,Sylvia_curruca
n01521399,rhea
n01521399,Rhea_americana
n01803078,pheasant
n01570421,water_thrush
n02034661,stilt
n02034661,stiltbird
n02034661,longlegs
n02034661,long-legs
n02034661,stilt_plover
n02034661,Himantopus_stilt
n01582220,magpie
n01797601,sage_grouse
n01797601,sage_hen
n01797601,Centrocercus_urophasianus
n02020219,striped_button_quail
n02020219,Turnix_sylvatica
n02051474,pelecaniform_seabird
n01572489,Baltimore_oriole
n01572489,Baltimore_bird
n01572489,hangbird
n01572489,firebird
n01572489,Icterus_galbula_galbula
n01798168,sharp-tailed_grouse
n01798168,sprigtail
n01798168,sprig_tail
n01798168,Pedioecetes_phasianellus
n01811909,pigeon
n02009229,little_blue_heron
n02009229,Egretta_caerulea
n01812662,rock_dove
n01812662,rock_pigeon
n01812662,Columba_livia
n01598271,hepatic_tanager
n01598271,Piranga_flava_hepatica
n01624305,hoot_owl
n01859190,mute_swan
n01859190,Cygnus_olor
n01579410,rook
n01579410,Corvus_frugilegus
n01531344,linnet
n01531344,lintwhite
n01531344,Carduelis_cannabina
n01580870,blue_jay
n01580870,jaybird
n01580870,Cyanocitta_cristata
n01798706,greater_prairie_chicken
n01798706,Tympanuchus_cupido
n01822300,ring-necked_parakeet
n01822300,Psittacula_krameri
n01813658,ringdove
n01813658,Streptopelia_risoria
n01574560,purple_grackle
n01574560,Quiscalus_quiscula
n01577941,crested_myna
n01577941,Acridotheres_tristis
n02041246,gull
n02041246,seagull
n02041246,sea_gull
n01558765,ring_ouzel
n01558765,ring_blackbird
n01558765,ring_thrush
n01558765,Turdus_torquatus
n01612122,sparrow_hawk
n01612122,American_kestrel
n01612122,kestrel
n01612122,Falco_sparverius
n02048698,gaviiform_seabird
n01603152,blue-headed_vireo
n01603152,Vireo_solitarius_solitarius
n01802159,maleo
n01802159,Macrocephalon_maleo
n01548301,kingbird
n01548301,Tyrannus_tyrannus
n02028035,redshank
n02028035,Tringa_totanus
n01821203,parakeet
n01821203,parrakeet
n01821203,parroket
n01821203,paraquet
n01821203,paroquet
n01821203,parroquet
n01796800,moorcock
n01613807,eaglet
n02005790,ibis
n01584695,winter_wren
n01584695,Troglodytes_troglodytes
n01792808,cackler
n02030996,woodcock
n01828556,kookaburra
n01828556,laughing_jackass
n01828556,Dacelo_gigas
n01858845,pen
n01570267,ovenbird
n01570267,Seiurus_aurocapillus
n01549641,western_wood_pewee
n01549641,Contopus_sordidulus
n02013567,courlan
n02013567,Aramus_guarauna
n01836087,whippoorwill
n01836087,Caprimulgus_vociferus
n01820546,lorikeet
n02036053,stilt
n02036053,Australian_stilt
n01607600,rough-legged_hawk
n01607600,roughleg
n01607600,Buteo_lagopus
n01594968,cliff_swallow
n01594968,Hirundo_pyrrhonota
n01804921,Old_World_quail
n01840412,ivorybill
n01840412,ivory-billed_woodpecker
n01840412,Campephilus_principalis
n02042472,ivory_gull
n02042472,Pagophila_eburnea
n02058747,black-footed_albatross
n02058747,gooney
n02058747,gooney_bird
n02058747,goonie
n02058747,goony
n02058747,Diomedea_nigripes
n02035402,white-headed_stilt
n02035402,Himantopus_himantopus_leucocephalus
n01534762,New_World_sparrow
n01536644,song_sparrow
n01536644,Melospiza_melodia
n01806567,quail
n02060133,fulmar
n02060133,fulmar_petrel
n02060133,Fulmarus_glacialis
n01806297,peahen
n01607812,red-shouldered_hawk
n01607812,Buteo_lineatus
n01578575,corvine_bird
n01861148,crested_screamer
n01622779,great_grey_owl
n01622779,great_gray_owl
n01622779,Strix_nebulosa
n02006656,spoonbill
n01861330,chaja
n01861330,Chauna_torquata
n01581874,common_nutcracker
n01581874,Nucifraga_caryocatactes
n01804653,northern_bobwhite
n01804653,Colinus_virginianus
n01573360,western_meadowlark
n01573360,Sturnella_neglecta
n02003037,adjutant_bird
n02003037,adjutant
n02003037,adjutant_stork
n02003037,Leptoptilus_dubius
n01561452,redstart
n01561452,redtail
n01619310,buzzard
n01619310,turkey_buzzard
n01619310,turkey_vulture
n01619310,Cathartes_aura
n02054711,water_turkey
n02054711,Anhinga_anhinga
n02030287,tattler
n01824749,crow_pheasant
n01824749,Centropus_sinensis
n01514752,gamecock
n01514752,fighting_cock
n02027075,spotted_sandpiper
n02027075,Actitis_macularia
n02034295,Hudsonian_godwit
n02034295,Limosa_haemastica
n01818832,kea
n01818832,Nestor_notabilis
n01541102,pine_grosbeak
n01541102,Pinicola_enucleator
n01817953,African_grey
n01817953,African_gray
n01817953,Psittacus_erithacus
n01611969,kestrel
n01611969,Falco_tinnunculus
n02046171,little_auk
n02046171,dovekie
n02046171,Plautus_alle
n01564217,ruby-crowned_kinglet
n01564217,ruby-crowned_wren
n01564217,Regulus_calendula
n01814370,domestic_pigeon
n01606809,Cooper's_hawk
n01606809,blue_darter
n01606809,Accipiter_cooperii
n01558149,song_thrush
n01558149,mavis
n01558149,throstle
n01558149,Turdus_philomelos
n01625562,barn_owl
n01625562,Tyto_alba
n02047614,puffin
n01530439,chaffinch
n01530439,Fringilla_coelebs
n02057898,procellariiform_seabird
n02061217,stormy_petrel
n02061217,northern_storm_petrel
n02061217,Hydrobates_pelagicus
n01563945,goldcrest
n01563945,golden-crested_kinglet
n01563945,Regulus_regulus
n02054036,cormorant
n02054036,Phalacrocorax_carbo
n01514926,nester
n01598074,summer_tanager
n01598074,summer_redbird
n01598074,Piranga_rubra
n01790812,cochin
n01790812,cochin_china
n01841679,wryneck
n01844917,aquatic_bird
n02038466,Wilson's_phalarope
n02038466,Steganopus_tricolor
n01570676,yellowthroat
n02045369,auk
n01852142,wood_duck
n01852142,summer_duck
n01852142,wood_widgeon
n01852142,Aix_sponsa
n01823414,European_cuckoo
n01823414,Cuculus_canorus
n01574045,New_World_blackbird
n01574045,blackbird
n01839949,gilded_flicker
n01839949,Colaptes_chrysoides
n01857079,snow_goose
n01617766,Egyptian_vulture
n01617766,Pharaoh's_chicken
n01617766,Neophron_percnopterus
n01805801,peafowl
n01805801,bird_of_Juno
n01520576,kiwi
n01520576,apteryx
n01612955,Audubon's_caracara
n01612955,Polyborus_cheriway_audubonii
n01792158,cock
n01792158,rooster
n02021795,seabird
n02021795,sea_bird
n02021795,seafowl
n01623880,spotted_owl
n01623880,Strix_occidentalis
n02027897,greenshank
n02027897,Tringa_nebularia
n01566207,tailorbird
n01566207,Orthotomus_sutorius
n01516609,Sinornis
n01808140,red-legged_partridge
n01808140,Alectoris_ruffa
n01620135,California_condor
n01620135,Gymnogyps_californianus
n01568892,yellow_warbler
n01568892,golden_warbler
n01568892,yellowbird
n01568892,Dendroica_petechia
n01792042,chick
n01792042,biddy
n01606672,sparrow_hawk
n01606672,Accipiter_nisus
n01789740,domestic_fowl
n01789740,fowl
n01789740,poultry
n01819465,pink_cockatoo
n01819465,Kakatoe_leadbeateri
n01800195,piping_guan
n01586020,Carolina_wren
n01586020,Thryothorus_ludovicianus
n01799679,curassow
n01842788,honey_guide
n01573074,meadowlark
n01573074,lark
n01620414,black_vulture
n01620414,carrion_crow
n01620414,Coragyps_atratus
n01599159,European_shrike
n01599159,Lanius_excubitor
n01600657,bowerbird
n01600657,catbird
n01608814,black_kite
n01608814,Milvus_migrans
n02014524,chunga
n02014524,seriema
n02014524,Chunga_burmeisteri
n02052775,frigate_bird
n02052775,man-of-war_bird
n01531512,siskin
n01531512,Carduelis_spinus
n01596273,bank_martin
n01596273,bank_swallow
n01596273,sand_martin
n01596273,Riparia_riparia
n01542168,chewink
n01542168,cheewink
n01542168,Pipilo_erythrophthalmus
n01609391,white-tailed_kite
n01609391,Elanus_leucurus
n01517565,ratite
n01517565,ratite_bird
n01517565,flightless_bird
n01796519,red_grouse
n01796519,moorfowl
n01796519,moorbird
n01796519,moor-bird
n01796519,moorgame
n01796519,Lagopus_scoticus
n02002724,black_stork
n02002724,Ciconia_nigra
n02041085,larid
n01848648,widgeon
n01848648,wigeon
n01848648,Anas_penelope
n01580490,common_European_jay
n01580490,Garullus_garullus
n01537134,bunting
n01570839,common_yellowthroat
n01570839,Maryland_yellowthroat
n01570839,Geothlypis_trichas
n01860864,horned_screamer
n01860864,Anhima_cornuta
n01855476,hooded_merganser
n01855476,hooded_sheldrake
n01855476,Lophodytes_cucullatus
n01560636,Old_World_chat
n01560636,chat
n02044778,skua
n02044778,bonxie
n01533000,purple_finch
n01533000,Carpodacus_purpureus
n01523493,anomalopteryx
n01523493,Anomalopteryx_oweni
n02024185,dotterel
n02024185,dotrel
n02024185,Charadrius_morinellus
n02024185,Eudromias_morinellus
n02016659,Florida_gallinule
n02016659,Gallinula_chloropus_cachinnans
n01792429,cockerel
n01811243,dodo
n01811243,Raphus_cucullatus
n02043333,sea_swallow
n02043333,Sterna_hirundo
n01564394,Old_World_warbler
n01564394,true_warbler
n01607429,redtail
n01607429,red-tailed_hawk
n01607429,Buteo_jamaicensis
n01533893,crossbill
n01533893,Loxia_curvirostra
n02050586,black-necked_grebe
n02050586,eared_grebe
n02050586,Podiceps_nigricollis
n01835769,European_goatsucker
n01835769,European_nightjar
n01835769,Caprimulgus_europaeus
n02052204,white_pelican
n02052204,Pelecanus_erythrorhynchos
n01813385,turtledove
n02047411,common_murre
n02047411,Uria_aalge
n02061560,Mother_Carey's_chicken
n02061560,Mother_Carey's_hen
n02061560,Oceanites_oceanicus
n01577659,myna
n01577659,mynah
n01577659,mina
n01577659,minah
n01577659,myna_bird
n01577659,mynah_bird
n01528845,meadow_pipit
n01528845,Anthus_pratensis
n02058221,albatross
n02058221,mollymawk
n02041875,black-backed_gull
n02041875,great_black-backed_gull
n02041875,cob
n02041875,Larus_marinus
n02008643,great_white_heron
n02008643,Ardea_occidentalis
n01548865,eastern_kingbird
n01557962,missel_thrush
n01557962,mistle_thrush
n01557962,mistletoe_thrush
n01557962,Turdus_viscivorus
n01545010,mamo
n01530575,brambling
n01530575,Fringilla_montifringilla
n02057330,rock_hopper
n02057330,crested_penguin
n02047260,murre
n01525720,oscine
n01525720,oscine_bird
n01602630,vireo
